awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
GOALI: A low-voltage nonvolatile single transistor flash memory device based on ion transport in 2D electrolytes,09/01/2015,06/30/2017,312362,Standard Grant,03/03/2016,03/03/2016,,1631717,Usha Varshney,07010000,Directorate For Engineering,Directorate For Engineering,University of Pittsburgh,Pittsburgh,152132303,4126247400,University Club,United States,Pennsylvania,PA
Interagency Agreement to Support NSF OISE Overseas Office (NSF Tokyo),11/01/2015,11/30/2018,756002,Contract Interagency Agreement,11/09/2015,01/20/2016,,1602834,W. Y. B. Chang,01090000,Office Of The Director,Office Of The Director,DEPARTMENT OF STATE,Washington,205220002,None,2201 C Street NW,United States,District of Columbia,DC
"Meeting: Ctenopalooza - A Workshop on Ctenophore Biology, March 14-15, 2015, Saint Augustine, Florida",02/15/2016,01/31/2017,21710,Standard Grant,01/08/2016,01/08/2016,,1619712,Steven L. Klein,08090100,Direct For Biological Sciences,Direct For Biological Sciences,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
TeaM SCoRE Biotechnology: Teachers in Montana Strengthening the Continuity of Rural Education in Biotechnology,07/01/2016,06/30/2019,424590,Standard Grant,04/12/2016,04/12/2016,,1600954,Thomas Higgins,11040100,Direct For Education and Human Resources,Direct For Education and Human Resources,Flathead Valley Community College,Kalispell,599012662,4067555222,777 Grandview Drive,United States,Montana,MT
"Workshop: Photocatalysis, Photoconversion, and Photoelectrochemistry: Fundamentals, Techniques, and Applications for the 21st Century",04/01/2016,03/31/2017,22500,Standard Grant,03/15/2016,03/15/2016,,1622670,George Janini,03090000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Bowling Green State University,Bowling Green,434030230,4193722481,400 E. Poe Rd.,United States,Ohio,OH
PostDoctoral Research Fellowship,09/15/2016,08/31/2020,150000,Fellowship,04/08/2016,04/08/2016,,1603855,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Krause Ben,Vancouver,None,None,None,Canada,None,None
Nonequilibrium phenomena in strongly correlated systems,09/01/2015,08/31/2017,215078,Standard Grant,10/30/2015,10/30/2015,,1606517,Daryl W. Hess,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Wisconsin-Madison,MADISON,537151218,6082623822,21 North Park Street,United States,Wisconsin,WI
I-Corps: 3D Curvature-Defined Microenvironments for Cell and Tissue Culturing,02/15/2016,07/31/2016,50000,Standard Grant,02/09/2016,02/09/2016,,1627705,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Florida Institute of Technology,MELBOURNE,329016975,3216748000,150 W UNIVERSITY BLVD,United States,Florida,FL
I-Corps: Afthon - Pressure Gain Combustion Power Generator,02/15/2016,07/31/2016,50000,Standard Grant,02/03/2016,02/03/2016,,1620096,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Texas at Arlington,Arlington,760190145,8172722105,1 UNIVERSITY OF TEXAS AT,United States,Texas,TX
STAR Metrics Workshop on Software and Data Citation and Attribution,02/15/2016,08/31/2016,40694,Standard Grant,02/11/2016,02/11/2016,,1621324,Rajiv Ramnath,05090000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Harvard University,Cambridge,021385366,6174955501,1033 MASSACHUSETTS AVE,United States,Massachusetts,MA
CIF: Small: Collaborative Research: Parallel Online Algorithms for Large-Scale MRI,09/01/2015,08/31/2016,121438,Standard Grant,03/09/2016,03/09/2016,,1632599,John Cozzens,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Purdue University,West Lafayette,479072114,7654941055,Young Hall,United States,Indiana,IN
I-Corps: Exploring Physics - the Curriculum App,12/01/2015,11/30/2016,50000,Standard Grant,11/25/2015,11/25/2015,,1608624,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Missouri-Columbia,COLUMBIA,652110001,5738827560,115 Business Loop 70 W,United States,Missouri,MO
A Workshop for Creating a Water Education and Innovative Ecosystem,03/15/2016,02/28/2017,49950,Standard Grant,03/02/2016,03/02/2016,,1600168,William Cooper,07020000,Directorate For Engineering,Directorate For Engineering,Worcester Polytechnic Institute,WORCESTER,016092247,5088315000,100 INSTITUTE RD,United States,Massachusetts,MA
Set Theory and Its Applications,06/01/2016,05/31/2019,123527,Continuing grant,03/15/2016,03/15/2016,,1600635,Tomek Bartoszynski,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Cornell University,Ithaca,148502820,6072555014,373 Pine Tree Road,United States,New York,NY
Supplemental funds to enhance U.S. student participation at River Flow 2016,06/01/2016,05/31/2017,9985,Standard Grant,02/10/2016,02/10/2016,,1613904,Justin Lawrence,06030000,Directorate For Geosciences,Directorate For Geosciences,Saint Louis University,St Louis,631032006,3149773925,221 N. Grand Blvd.,United States,Missouri,MO
Directed Self Assembly of Triblock Terpolymer Films,06/01/2016,05/31/2019,360000,Standard Grant,03/09/2016,03/09/2016,,1606911,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Massachusetts Institute of Technology,Cambridge,021394301,6172531000,77 MASSACHUSETTS AVE,United States,Massachusetts,MA
RAPID: Archaeological Investigation at Iita,03/15/2016,02/28/2017,48604,Standard Grant,03/08/2016,03/08/2016,,1623802,Anna Kerttula de Echave,06090100,Directorate For Geosciences,Directorate For Geosciences,Bowdoin College,Brunswick,040118451,2077253767,6000 COLLEGE STA,United States,Maine,ME
WORKSHOP: VL/HCC 2016 Graduate Consortium,03/01/2016,02/28/2017,28810,Standard Grant,03/01/2016,03/01/2016,,1634258,Ephraim P. Glinert,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Oregon State University,Corvallis,973318507,5417374933,OREGON STATE UNIVERSITY,United States,Oregon,OR
GOALI: Influence of Length-Scale on Diffusion During FAST (Field-Assisted Sintering Technology),10/01/2015,06/30/2017,246049,Standard Grant,12/18/2015,12/18/2015,,1601087,Thomas F. Kuech,07030000,Directorate For Engineering,Directorate For Engineering,University of California-Irvine,Irvine,926173067,9498244768,"5171 California Avenue, Ste 150",United States,California,CA
RUI: Crystallization of Biologically-Relevant Poly(ethylene oxide)-b-poly(epsilon-caprolactone) Copolymers During Film Preparation,05/01/2016,04/30/2019,113590,Continuing grant,03/01/2016,03/01/2016,,1606532,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Allegheny College,Meadville,163353902,8143325380,520 North Main Street,United States,Pennsylvania,PA
Interagency Agreement (IAA) 1623784,01/15/2016,01/31/2017,715000,Contract Interagency Agreement,01/13/2016,01/13/2016,,1623784,William Hart,02060100,Office Of Information & Resource Mgmt,Office Of Information & Resource Mgmt,Library of Congress,Washington,200245105,None,"10 First Street, S.E.",United States,District of Columbia,DC
I-Corps: Fast detection of pathogens in food,02/01/2016,07/31/2016,50000,Standard Grant,02/01/2016,02/01/2016,,1624047,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Maryland College Park,COLLEGE PARK,207425141,3014056269,3112 LEE BLDG 7809 Regents Drive,United States,Maryland,MD
Student Travel Grant for ACM Conference on Computer and Communications Security (CCS) 2016,06/01/2016,05/31/2017,25000,Standard Grant,12/08/2015,12/08/2015,,1607692,Ralph Wachter,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of North Texas,DENTON,762035017,9405653940,1155 Union Circle #305250,United States,Texas,TX
I-Corps: Ophthalmic Cold Plasma Probe for Reduction of Corneal and Scleral Infections,12/01/2015,05/31/2016,50000,Standard Grant,11/25/2015,11/25/2015,,1608210,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Drexel University,Philadelphia,191021119,2158955849,"1505 Race St, 8th Floor",United States,Pennsylvania,PA
"2016 Pan-REU PI Workshop: Leveraging Excellence Through Collaboration Across REU Programs, April 28-30, 2016, Arlington, VA",02/01/2016,01/31/2018,77371,Standard Grant,01/20/2016,01/20/2016,,1617287,Sally E. O'Connor,08080000,Direct For Biological Sciences,Direct For Biological Sciences,University of Wisconsin-Madison,MADISON,537151218,6082623822,21 North Park Street,United States,Wisconsin,WI
"DISSERTATION RESEARCH: Soil resource variability as a driver of interactions within, and emergent properties of, tritrophic ecological networks",06/01/2016,05/31/2018,19198,Standard Grant,03/11/2016,03/11/2016,,1600961,Maria Gonzalez,08010208,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Davis,Davis,956186134,5307547700,OR/Sponsored Programs,United States,California,CA
Stimuli-Responsive Shape-Changing Molecular Brushes,07/01/2016,06/30/2020,142766,Continuing grant,03/02/2016,03/02/2016,,1607076,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Tennessee Knoxville,KNOXVILLE,379960003,8659743466,1 CIRCLE PARK,United States,Tennessee,TN
Understanding and Controlling Subcritical Crack Growth in Large Freestanding Metallic Nanosheets,09/01/2016,08/31/2019,402439,Standard Grant,03/15/2016,03/15/2016,,1609817,Diana Farkas,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Georgia Tech Research Corporation,Atlanta,303320420,4048944819,Office of Sponsored Programs,United States,Georgia,GA
"Collaborative Research: RAPID: Nearshore settlement and hydrodynamics in Southern California during El Nino, and the transition to normal ocean conditions: boom and bust?",03/15/2016,02/28/2017,100740,Standard Grant,03/08/2016,03/08/2016,,1630474,David L. Garrison,06040300,Directorate For Geosciences,Directorate For Geosciences,University of San Diego,San Diego,921102492,6192606825,5998 Alcala Park M264,United States,California,CA
RAPID: The effect of an extreme El Nino event on tropical forest seedling regeneration,03/15/2016,02/28/2017,165000,Standard Grant,03/14/2016,03/14/2016,,1623775,Douglas Levey,08010208,Direct For Biological Sciences,Direct For Biological Sciences,Oregon State University,Corvallis,973318507,5417374933,OREGON STATE UNIVERSITY,United States,Oregon,OR
"CNS: CSR: Small: Runtime System, Architecture, and Technology Codesign Approach for Heterogeneous Many-Core Processors and Clusters",08/21/2015,08/31/2016,222526,Standard Grant,10/14/2015,10/14/2015,,1600669,M. Mimi McClure,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
Creating Practical Active Learning Stations to Transform and Improve Existing Learning Environments for Computer Science Students,08/01/2016,07/31/2019,267571,Standard Grant,04/04/2016,04/04/2016,,1608043,Paul Tymann,11040000,Direct For Education and Human Resources,Direct For Education and Human Resources,Central Michigan University,Mount Pleasant,488590001,9897746777,Office of Research & Graduate St,United States,Michigan,MI
"GP-IMPACT: Career paths for urban geoscientists: recruitment, retention, and apprenticeship",09/01/2016,08/31/2019,358773,Standard Grant,03/31/2016,03/31/2016,,1600233,Jill L. Karsten,06010000,Directorate For Geosciences,Directorate For Geosciences,Temple University,PHILADELPHIA,191405104,2157077379,3340 N. Broad Street,United States,Pennsylvania,PA
CAREER: Hybrid Bioprinting of Engineered Vascularized Endocrine Tissues,08/17/2015,06/30/2019,228888,Standard Grant,01/27/2016,01/27/2016,,1624515,Zhijian Pei,07030000,Directorate For Engineering,Directorate For Engineering,Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
Conference: Dynamics and Differential Equations,03/01/2016,02/28/2017,15630,Standard Grant,12/07/2015,12/07/2015,,1600381,Edward Taylor,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Minnesota-Twin Cities,Minneapolis,554552070,6126245599,200 OAK ST SE,United States,Minnesota,MN
Precision Agriculture Curriculum Enhancement,07/01/2016,06/30/2019,197505,Standard Grant,04/08/2016,04/08/2016,,1601473,Elizabeth Teles,11040100,Direct For Education and Human Resources,Direct For Education and Human Resources,Parkland College,Champaign,618211899,2173532167,2400 W. Bradley Ave.,United States,Illinois,IL
Computational-Experimental Insight across Time and Length Scales of Dynamics in Ionic Polymers,07/01/2016,06/30/2019,142000,Continuing grant,03/01/2016,03/01/2016,,1611136,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Clemson University,CLEMSON,296340001,8646562424,300 BRACKETT HALL,United States,South Carolina,SC
III: Student Travel to Workshop on Intelligent Systems for Supporting Distributed Human Teamwork,03/15/2016,02/28/2017,15000,Standard Grant,02/25/2016,02/25/2016,,1624673,Sylvia J. Spengler,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Association for the Advancement of Artificial Intelligence,East Palo Alto,943033224,6503283123,2275 E BAYSHORE RD STE 160,United States,California,CA
"The Minerals, Metals & Materials Society (TMS) Annual Meeting: National Science Foundation Grant Proposal Writing Workshop; Nashville, Tennessee; 14-18 February 2016",02/01/2016,01/31/2017,4000,Standard Grant,02/02/2016,02/02/2016,,1624332,Alexis Lewis,07030000,Directorate For Engineering,Directorate For Engineering,Minerals Metals & Materials Society,Warrendale,150867528,7248143178,184 Thorn Hill RD,United States,Pennsylvania,PA
Doctoral Dissertation Research: Re-entry organizations and the formally incarcerated,03/15/2016,02/28/2017,6678,Standard Grant,03/15/2016,03/15/2016,,1602900,Beth Rubin,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Columbia University,NEW YORK,100276902,2128546851,2960 Broadway,United States,New York,NY
I-Corps: Automated Postures Analysis for Ergonomic Risk,02/01/2016,07/31/2016,50000,Standard Grant,01/20/2016,01/20/2016,,1623669,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
Workshop: Managing Health Risks to Wastewater Workers from Ebola and Other Emerging Pathogens: Science and Solutions,03/01/2016,02/28/2017,49981,Standard Grant,02/22/2016,02/22/2016,,1619958,William Cooper,07020000,Directorate For Engineering,Directorate For Engineering,University of North Carolina at Chapel Hill,CHAPEL HILL,275991350,9199663411,104 AIRPORT DR STE 2200,United States,North Carolina,NC
I-Corps: Commercialization of SaaS for Automotive Dealership Service,01/15/2016,06/30/2016,50000,Standard Grant,01/11/2016,01/11/2016,,1619757,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,California State L A University Auxiliary Services Inc.,Los Angeles,900324221,3233434970,5151 State University Drive,United States,California,CA
DISSERTATION RESEARCH: Gene Regulation Evolution and Speciation in House Mice,07/01/2016,06/30/2018,20357,Standard Grant,03/21/2016,03/21/2016,,1601699,George W. Gilchrist,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
I-Corps: Team Molecular Artificial Retina,04/01/2016,09/30/2016,50000,Standard Grant,03/27/2016,03/27/2016,,1636479,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,California Institute of Technology,PASADENA,911250600,6263956219,1200 E California Blvd,United States,California,CA
2016 Software Infrastructure for Sustained Innovation (SI2) Principal Investigators Workshop,01/15/2016,12/31/2016,104947,Standard Grant,01/07/2016,02/08/2016,,1606994,Rajiv Ramnath,05090000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Arizona State University,TEMPE,852816011,4809655479,ORSPA,United States,Arizona,AZ
DISSERTATION RESEARCH: A PHYLOGENOMIC APPROACH FOR UNDERSTANDING THE SYSTEMATICS AND PHENOTYPIC DIVERSIFICATION OF AUSTRALASIAN GECKO LIZARDS,06/01/2016,05/31/2018,20410,Standard Grant,03/17/2016,03/17/2016,,1601806,Joseph Miller,08010206,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
Next Level Networking Project,08/01/2016,07/31/2019,199893,Standard Grant,04/08/2016,04/08/2016,,1601140,Elizabeth Teles,11040100,Direct For Education and Human Resources,Direct For Education and Human Resources,Renton Technical College,Renton,980564123,4252352352,3000 NE Fourth Street,United States,Washington,WA
Undergraduate Workshop in Supersymmetry,04/01/2016,03/31/2017,30155,Standard Grant,03/22/2016,03/22/2016,,1602991,Matthew Douglass,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Pepperdine University,Malibu,902634819,3105064819,24255 Pacific Coast Hwy,United States,California,CA
"Doctoral Dissertation Improvement Award: Social Organization And The Importance Of ""Persistent Places""",05/01/2016,04/30/2017,27924,Standard Grant,03/14/2016,03/14/2016,,1606498,John E. Yellen,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Arizona State University,TEMPE,852816011,4809655479,ORSPA,United States,Arizona,AZ
